DEBUG | 2024-11-06 17:25:28,704 | 4
DEBUG | 2024-11-06 17:25:28,704 | 5
DEBUG | 2024-11-06 17:25:28,704 | 6
DEBUG | 2024-11-06 17:25:28,704 | 7
DEBUG | 2024-11-06 17:25:28,704 | 8
DEBUG | 2024-11-06 17:25:28,705 | 9
DEBUG | 2024-11-06 17:25:28,705 | 10
DEBUG | 2024-11-06 17:25:28,706 | Write completed.
DEBUG | 2024-11-06 17:25:28,707 | writer is waiting
DEBUG | 2024-11-06 17:25:28,708 | 1
DEBUG | 2024-11-06 17:25:28,708 | 2
DEBUG | 2024-11-06 17:25:28,708 | 3
DEBUG | 2024-11-06 17:25:28,708 | 4
DEBUG | 2024-11-06 17:25:28,708 | 5
DEBUG | 2024-11-06 17:25:28,708 | Read value: daniel
DEBUG | 2024-11-06 17:25:28,708 | 6
DEBUG | 2024-11-06 17:25:28,708 | Read value: daniel
DEBUG | 2024-11-06 17:25:28,709 | 7
DEBUG | 2024-11-06 17:25:28,709 | Read value: daniel
DEBUG | 2024-11-06 17:25:28,709 | 8
DEBUG | 2024-11-06 17:25:28,709 | Read value: daniel
DEBUG | 2024-11-06 17:25:28,709 | 9
DEBUG | 2024-11-06 17:25:28,709 | Read value: daniel
DEBUG | 2024-11-06 17:25:28,709 | 10
DEBUG | 2024-11-06 17:25:28,709 | Read value: daniel
DEBUG | 2024-11-06 17:25:28,710 | Write completed.
DEBUG | 2024-11-06 17:25:28,711 | Read value: dani
DEBUG | 2024-11-06 17:25:54,112 | writer is waiting
DEBUG | 2024-11-06 17:25:54,113 | 1
DEBUG | 2024-11-06 17:25:54,113 | 2
DEBUG | 2024-11-06 17:25:54,113 | 3
DEBUG | 2024-11-06 17:25:54,113 | 4
DEBUG | 2024-11-06 17:25:54,113 | 5
DEBUG | 2024-11-06 17:25:54,113 | 6
DEBUG | 2024-11-06 17:25:54,113 | 7
DEBUG | 2024-11-06 17:25:54,113 | 8
DEBUG | 2024-11-06 17:25:54,113 | 9
DEBUG | 2024-11-06 17:25:54,113 | 10
DEBUG | 2024-11-06 17:25:54,115 | Write completed.
DEBUG | 2024-11-06 17:25:54,116 | writer is waiting
DEBUG | 2024-11-06 17:25:54,117 | 1
DEBUG | 2024-11-06 17:25:54,117 | 2
DEBUG | 2024-11-06 17:25:54,117 | 3
DEBUG | 2024-11-06 17:25:54,117 | 4
DEBUG | 2024-11-06 17:25:54,117 | 5
DEBUG | 2024-11-06 17:25:54,117 | Read value: daniel
DEBUG | 2024-11-06 17:25:54,118 | 6
DEBUG | 2024-11-06 17:25:54,118 | Read value: daniel
DEBUG | 2024-11-06 17:25:54,118 | 7
DEBUG | 2024-11-06 17:25:54,118 | Read value: daniel
DEBUG | 2024-11-06 17:25:54,118 | 8
DEBUG | 2024-11-06 17:25:54,118 | Read value: daniel
DEBUG | 2024-11-06 17:25:54,118 | 9
DEBUG | 2024-11-06 17:25:54,118 | Read value: daniel
DEBUG | 2024-11-06 17:25:54,119 | 10
DEBUG | 2024-11-06 17:25:54,119 | Read value: daniel
DEBUG | 2024-11-06 17:25:54,120 | Write completed.
DEBUG | 2024-11-06 17:25:54,121 | Read value: dani
DEBUG | 2024-11-06 17:28:59,128 | writer is waiting
DEBUG | 2024-11-06 17:28:59,128 | 1
